rank,business_name,legal_name_on_license,tier,research_batch,fit_percent,cslb_license,license_status,entity,classifications,issue_date,expire_date,bond_carrier,bond_amount,bond_cancellation,workers_comp,cslb_address,cslb_phone,published_phone,sf_plumbing_permits,website,snake_shower,tub_overflow_access,non_destructive,prewar_galvanized,camera_inspection,weekend_emergency,flag_count,critical_flags,cslb_source_url,raw_capture
141,Dinamit Plumbing,DINAMIT PLUMBING,conditional,2026-09-04-expansion-50-b3,0,869445,active,Sole Ownership,C36 - PLUMBING,12/14/2005,12/31/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",,insured,"1709 KESTREL CT / OLIVEHURST, CA 95961",(530) 354-6976,(530) 354-6976,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=869445,data/raw/cslb-869445.txt
142,JA Plumbing Inc,JA PLUMBING INC,conditional,2026-09-04-expansion-50-b3,0,845259,active,Corporation,C36 - PLUMBING,08/24/2004,08/31/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"2241 28TH AVENUE / SAN FRANCISCO, CA 94116",(415) 286-0676,(415) 286-0676,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=845259,data/raw/cslb-845259.txt
143,Kearney Plumbing Inc,KEARNEY PLUMBING INC,conditional,2026-09-04-expansion-50-b3,0,1013245,active,Corporation,C36 - PLUMBING,04/25/2016,01/31/2028,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"45 DORMAN AVE / SAN FRANCISCO, CA 94124",(415) 619-3344,(415) 619-3344,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1013245,data/raw/cslb-1013245.txt
144,L R Plumbing,L R PLUMBING,conditional,2026-09-04-expansion-50-b3,0,771776,active,Sole Ownership,C36 - PLUMBING,11/23/1999,11/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"2162 19TH AVE / SAN FRANCISCO, CA 94116",(415) 481-8850,(415) 481-8850,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=771776,data/raw/cslb-771776.txt
145,Marco Deleon Plumbing,MARCO DELEON PLUMBING,conditional,2026-09-04-expansion-50-b3,0,977401,active,Sole Ownership,C36 - PLUMBING,09/29/2012,09/30/2028,ATLANTIC SPECIALTY INSURANCE COMPANY,"$25,000",,insured,"353 BANCROFT WAY / PACIFICA, CA 94044",(415) 810-1651,(415) 810-1651,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=977401,data/raw/cslb-977401.txt
146,P O P Plumbing Inc,P O P PLUMBING INC,conditional,2026-09-04-expansion-50-b3,0,756097,active,Corporation,C36 - PLUMBING ; C16 - FIRE PROTECTION,11/10/1998,01/31/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"1270 TUOLUMNE ROAD / MILLBRAE, CA 96030",(415) 730-0348,(415) 730-0348,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=756097,data/raw/cslb-756097.txt
147,Tony Ng Plumbing Co,TONY NG PLUMBING CO,conditional,2026-09-04-expansion-50-b3,0,329705,active,Sole Ownership,C36 - PLUMBING ; A - GENERAL ENGINEERING ; C16 - FIRE PROTECTION,01/05/1977,05/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"1332 HYDE ST / SAN FRANCISCO, CA 94109",(415) 722-2256,(415) 722-2256,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=329705,data/raw/cslb-329705.txt
148,Water Heater Specialists,WATER HEATER SPECIALISTS,conditional,2026-09-04-expansion-50-b3,0,741904,active,Sole Ownership,C36 - PLUMBING,10/28/1997,10/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 4358 / FOSTER CITY, CA 94404",(650) 570-5070,(650) 570-5070,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=741904,data/raw/cslb-741904.txt
149,West Bay Plumbing,WEST BAY PLUMBING,conditional,2026-09-04-expansion-50-b3,0,920624,active,Sole Ownership,C36 - PLUMBING,08/11/2008,08/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,exempt,"130 RAE AVE / SAN FRANCISCO, CA 94112",(415) 335-5732,(415) 335-5732,,,unknown,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=920624,data/raw/cslb-920624.txt
150,Repipe Specialists,,fallback-only,,50,,unverified,,,,,,,,,,,,,https://san-francisco.repipe.com/,no,advertised,documented,documented,unknown,unknown,3,Earlier license attribution was wrong and is withdrawn; License NOT verified - do not treat as a verified entry,,
151,ARB Inc,ARB INC,wrong-scale,,0,194079,active,Corporation,"A - GENERAL ENGINEERING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; B - GENERAL BUILDING ; C36 - PLUMBING ; C51 - STEEL, STRUCTURAL",07/21/1960,03/31/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"7515 IRVINE CENTER DRIVE / SUITE #200 / IRVINE, CA 92618",(949) 454-7106,(949) 454-7106,12829,,no,no,no,no,unknown,no,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=194079,data/raw/cslb-194079.txt
152,Blaze Fireplaces Of Northern California Inc,BLAZE FIREPLACES OF NORTHERN CALIFORNIA INC,wrong-scale,2026-09-04-expansion-50-b5,0,454647,active,Corporation,"C-61 / D34 - PREFABRICATED EQUIPMENT; C-61 / D28 - DOORS, GATES AND ACTIVATING DEVICES",04/03/1984,04/30/2028,OHIO CASUALTY INSURANCE COMPANY (THE),"$25,000",,insured,"dba BLAZE / 1675 ROLLINS RD SUITE F AND F1 / BURLINGAME, CA 94010",(415) 495-2002,(415) 495-2002,3330,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=454647,data/raw/cslb-454647.txt
153,Schmitt Heating Co Inc,SCHMITT HEATING CO INC,wrong-scale,2026-09-04-expansion-50-b5,0,708941,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C43 - SHEET METAL",06/27/1995,02/28/2027,WESTERN SURETY COMPANY,"$25,000",,insured,"1580 TENNESSEE STREET / SAN FRANCISCO, CA 94107",(415) 522-0966,(415) 522-0966,3006,,no-evidence,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=708941,data/raw/cslb-708941.txt
154,R L H Fire Protection Inc,R L H FIRE PROTECTION INC,wrong-scale,2026-09-04-expansion-50-b5,0,777717,active,Corporation,C16 - FIRE PROTECTION; C10 - ELECTRICAL; A - GENERAL ENGINEERING,04/20/2000,04/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 42470 / BAKERSFIELD, CA 93384",(661) 322-9344,(661) 322-9344,2771,,no-evidence,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=777717,data/raw/cslb-777717.txt
155,Golden Gate Fire Protection Inc,GOLDEN GATE FIRE PROTECTION INC,wrong-scale,2026-09-04-expansion-50-b5,0,960198,active,Corporation,C16 - FIRE PROTECTION,04/21/2011,04/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"133 KISSLING STREET / SAN FRANCISCO, CA 94103",(415) 500-1621,(415) 500-1621,2070,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=960198,data/raw/cslb-960198.txt
156,Associated Heating Of S F,ASSOCIATED HEATING OF S F,wrong-scale,2026-09-04-expansion-50-b5,0,486084,active,Sole Ownership,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",01/27/1986,01/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"5786 MISSION STREET / SAN FRANCISCO, CA 94112",(415) 585-0145,(415) 585-0145,2033,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=486084,data/raw/cslb-486084.txt
157,Allied Fire Protection,ALLIED FIRE PROTECTION,wrong-scale,2026-09-04-expansion-50-b5,0,251700,active,Corporation,C12 - EARTHWORK AND PAVING; C16 - FIRE PROTECTION; C34 - PIPELINE; C60 - WELDING,02/14/1968,12/31/2026,HARCO NATIONAL INSURANCE COMPANY,"$25,000",,insured,"555 HIGH STREET / OAKLAND, CA 94601",(510) 533-5516,(510) 533-5516,1254,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=251700,data/raw/cslb-251700.txt
158,Pioneer Fire Inc,PIONEER FIRE INC,wrong-scale,2026-09-04-expansion-50-b5,0,927862,active,Corporation,C16 - FIRE PROTECTION,01/26/2009,01/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1130 INDUSTRIAL AVE STE 5 / PETALUMA, CA 94952",(707) 762-3473,(707) 762-3473,1225,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=927862,data/raw/cslb-927862.txt
159,Regency General Contractors Inc,REGENCY GENERAL CONTRACTORS INC,wrong-scale,2026-09-04-expansion-50-b5,0,773175,active,Corporation,B - GENERAL BUILDING; C33 - PAINTING AND DECORATING,01/03/2000,04/30/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"4400 AUTO MALL PKWY / FREMONT, CA 94538",(408) 946-7100,(408) 946-7100,1149,,no-evidence,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=773175,data/raw/cslb-773175.txt
160,Ace Furnace Company Inc,ACE FURNACE COMPANY INC,wrong-scale,2026-09-04-expansion-50-b5,0,235989,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",07/12/1965,09/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"P O BOX 295 / SOUTH SAN FRANCISCO, CA 94083",(415) 661-8000,(415) 661-8000,1076,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=235989,data/raw/cslb-235989.txt
161,S L Mechanical Contractors,S L MECHANICAL CONTRACTORS,wrong-scale,2026-09-04-expansion-50-b5,0,697542,active,Sole Ownership,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C43 - SHEET METAL",10/19/1994,10/31/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"49 CERRITOS AVENUE / SAN FRANCISCO, CA 94127",(415) 706-1767,(415) 706-1767,1025,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=697542,data/raw/cslb-697542.txt
162,Sure Inc,SURE INC,wrong-scale,2026-09-04-expansion-50-b5,0,561658,active,Corporation,B - GENERAL BUILDING; C10 - ELECTRICAL,03/23/1989,03/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"1728 OCEAN AVE 360 / SAN FRANCISCO, CA 94112",(415) 221-2888,(415) 221-2888,914,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=561658,data/raw/cslb-561658.txt
163,Innovative Mechanical Inc,INNOVATIVE MECHANICAL INC,wrong-scale,2026-09-04-expansion-50-b5,0,468809,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C43 - SHEET METAL",01/28/1985,01/31/2027,MERCHANTS BONDING COMPANY (MUTUAL),"$25,000",,insured,"1141 OLD COUNTY ROAD / BELMONT, CA 94002",(650) 583-8222,(650) 583-8222,861,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=468809,data/raw/cslb-468809.txt
164,Air Flow Pro's,AIR FLOW PRO'S,wrong-scale,2026-09-04-expansion-50-b5,0,938916,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",10/19/2009,10/31/2027,BUSINESS ALLIANCE INSURANCE COMPANY,"$25,000",,insured,"28 ROBINHOOD DRIVE / SAN RAFAEL, CA 94901",(415) 400-5140,(415) 400-5140,793,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=938916,data/raw/cslb-938916.txt
165,Potter Fire Protection Inc,POTTER FIRE PROTECTION INC,wrong-scale,2026-09-04-expansion-50-b5,0,338830,active,Corporation,C16 - FIRE PROTECTION,07/15/1977,10/31/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"22156 MEEKLAND AVENUE / HAYWARD, CA 94541",(510) 581-3473,(510) 581-3473,782,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=338830,data/raw/cslb-338830.txt
166,Bing's Heating & Cooling Co,BING'S HEATING & COOLING CO,wrong-scale,2026-09-04-expansion-50-b5,0,651731,active,Sole Ownership,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",08/05/1992,08/31/2028,WESTERN SURETY COMPANY,"$25,000",,insured,"2026 34TH AVE / SAN FRANCISCO, CA 95116",(415) 309-6127,(415) 309-6127,773,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=651731,data/raw/cslb-651731.txt
167,State Sheet Metal Works Inc,STATE SHEET METAL WORKS INC,wrong-scale,2026-09-04-expansion-50-b5,0,629775,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C43 - SHEET METAL",09/30/1991,09/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"6084 MISSION STREET / DALY CITY, CA 94014",(650) 755-5706,(650) 755-5706,717,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=629775,data/raw/cslb-629775.txt
168,Cosco Fire Protection Inc,COSCO FIRE PROTECTION INC,wrong-scale,2026-09-04-expansion-50-b5,0,577621,active,Corporation,C10 - ELECTRICAL; C16 - FIRE PROTECTION; B - GENERAL BUILDING,09/22/1989,09/30/2027,WESTCHESTER FIRE INSURANCE COMPANY,"$25,000",,insured,"dba COSCO FIRE PROTECTION / 27101 PUERTA REAL SUITE 250 / MISSION VIEJO, CA 92691",(949) 542-8200,(949) 542-8200,715,,no-evidence,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=577621,data/raw/cslb-577621.txt
169,Zh Mechanical Inc,ZH MECHANICAL INC,wrong-scale,2026-09-04-expansion-50-b5,0,998449,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",11/06/2014,11/30/2026,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"56 NEWTON STREET / SAN FRANCISCO, CA 94112",(415) 671-9138,(415) 671-9138,708,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=998449,data/raw/cslb-998449.txt
170,Axel8 Construction Llc,AXEL8 CONSTRUCTION LLC,wrong-scale,2026-09-04-expansion-50-b5,0,1045139,active,Ltd Liability,B - GENERAL BUILDING,10/02/2018,10/31/2026,WESTERN SURETY COMPANY,"$25,000",,insured,"724 PINE ST / SAN FRANCISCO, CA 94108",(415) 531-5998,(415) 531-5998,693,,no-evidence,unknown,unknown,unknown,unknown,unknown,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1045139,data/raw/cslb-1045139.txt
171,Greenflow Hvac Inc,GREENFLOW HVAC INC,wrong-scale,2026-09-04-expansion-50-b5,0,940159,active,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",11/17/2009,09/30/2027,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"139 CAPISTRANO AVENUE / SAN FRANCISCO, CA 94112",(415) 424-2188,(415) 424-2188,633,,no-evidence,unknown,unknown,unknown,unknown,unknown,2,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=940159,data/raw/cslb-940159.txt
172,Ps2,PS2,wrong-scale,2026-09-04-expansion-50-b5,0,746784,active,Corporation,B - GENERAL BUILDING; C33 - PAINTING AND DECORATING; C10 - ELECTRICAL,03/10/1998,03/31/2028,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$25,000",,insured,"17903 S HOBART BLVD / GARDENA, CA 90248",(310) 243-2980,(310) 243-2980,623,,no-evidence,unknown,unknown,unknown,unknown,unknown,3,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=746784,data/raw/cslb-746784.txt
173,CT Construction,CT CONSTRUCTION,wrong-scale,2026-09-04-expansion-50-b4,0,533324,active,Sole Ownership,B - GENERAL BUILDING,06/23/1988,09/30/2027,JET INSURANCE COMPANY,"$25,000",,exempt,"1847 48TH AVE / SAN FRANCISCO, CA 94122",(415) 793-3615,(415) 793-3615,391,,no,no,no,no,unknown,no,1,,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=533324,data/raw/cslb-533324.txt
174,Crusader Plumbing,,unverified,,0,,unverified,,,,,,,,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,1,NO VERIFIABLE CSLB LICENSE,,
175,Kenneth Asire Plumbing,KENNETH ASIRE PLUMBING,do-not-hire,2026-09-04-expansion-20,42,1027286,suspended,Sole Ownership,C36 - PLUMBING,05/25/2017,05/31/2027,NORTH RIVER INSURANCE COMPANY (THE),"$25,000",08/16/2026,insured,"1559 SLOAT BLVD #319 / SAN FRANCISCO, CA 94132",(415) 913-8048,(415) 913-8048,,https://kennethasireplumbing.com/,documented-adjacent,advertised,unknown,unknown,unknown,advertised,2,LICENSE SUSPENDED — do not book; High ratings do not cure suspension,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1027286,data/raw/cslb-1027286.txt
176,Heise's Plumbing Heating & Air Conditioning,HEISE'S PLUMBING INC,do-not-hire,2026-09-04-expansion-50,33,787733,expired,Corporation,C36 - PLUMBING,11/22/2000,03/31/2023,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$15,000",05/06/2022,insured,"260 OCEAN AVENUE / SAN FRANCISCO, CA 94112",(415) 333-0704,(415) 333-0704,1103,https://www.heisesplumbing.com,advertised,advertised,unknown,unknown,unknown,unknown,2,LICENSE EXPIRED AND ENTITY CANCELED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=787733,data/raw/cslb-787733.txt
177,Bright Ideas Plumbing and Rooter,BRIGHT IDEAS PLUMBING AND ROOTER,do-not-hire,,33,1018638,expired,Sole Ownership,C36 - PLUMBING,09/23/2016,09/30/2024,WESTERN SURETY COMPANY,"$25,000",03/27/2025,exempt,"3 CONCORD STREET / SAN FRANCISCO, CA 94112",(415) 298-1428,(415) 298-1428,46,,advertised,advertised,unknown,unknown,unknown,advertised,3,LICENSE EXPIRED 09/30/2024 - cannot lawfully contract; Platform trust badges are stale and misleading,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=1018638,data/raw/cslb-1018638.txt
178,ACE Plumbing and Rooter,ACE PLUMBING & ROOTER,do-not-hire,,17,829071,suspended,Corporation,"C36 - PLUMBING ; A - GENERAL ENGINEERING ; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C16 - FIRE PROTECTION ; B - GENERAL BUILDING ; C10 - ELECTRICAL",12/18/2003,06/30/2027,HUDSON INSURANCE COMPANY,"$25,000",09/01/2026,insured,"1090 BRYANT STREET / SAN FRANCISCO, CA 94103-4417",(415) 824-6444,(415) 824-6444,3172,https://www.aceplumbingandrooter.com/,advertised,unknown,unknown,unknown,advertised,advertised,4,LICENSE SUSPENDED; Review volume does not equal licensure,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=829071,data/raw/cslb-829071.txt
179,Just Water Heaters Inc,JUST WATER HEATERS INC,do-not-hire,2026-09-04-expansion-50-b4,0,591329,revoked,Corporation,C36 - PLUMBING,03/28/1990,02/13/2012,INTERNATIONAL FIDELITY INSURANCE COMPANY,"$12,500",05/10/2011,insured,"3400 INVESTMENT BOULEVARD / HAYWARD, CA 94545",(510) 293-2016,(510) 293-2016,4835,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE REVOKED - do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=591329,data/raw/cslb-591329.txt
180,Chung Wah Plumbing Co Inc.,CHUNG WAH PLUMBING CO INC,do-not-hire,2026-09-04-expansion-50,0,500445,canceled,Corporation,C36 - PLUMBING ; C16 - FIRE PROTECTION,10/24/1986,10/31/2006,SURETY COMPANY OF THE PACIFIC,"$12,500",07/01/2008,insured,"193 23RD AVENUE / SAN FRANCISCO, CA 94121",(415) 559-3853,(415) 559-3853,2549,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE CANCELED — do not book this number,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=500445,data/raw/cslb-500445.txt
181,Dresser/Areia Construction Inc,DRESSER/AREIA CONSTRUCTION INC,do-not-hire,2026-09-04-expansion-50-b5,0,580087,expired,Corporation,A - GENERAL ENGINEERING; C36 - PLUMBING; B - GENERAL BUILDING,10/30/1989,10/31/2003,INDEMNITY COMPANY OF CALIFORNIA,"$7,500",12/12/2003,insured,"3940 VALLEY AVENUE / PLEASANTON, CA 94566",(925) 485-1711,(925) 485-1711,1876,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=580087,data/raw/cslb-580087.txt
182,Atlas Heating And Ventilating Co Ltd,ATLAS HEATING AND VENTILATING CO LTD,do-not-hire,2026-09-04-expansion-50-b5,0,2195,expired,Corporation,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING; C43 - SHEET METAL",09/24/1929,11/30/2020,SURETEC INDEMNITY COMPANY,"$12,500",03/22/2015,exempt,"407 CABOT / S SAN FRANCISCO, CA 94080",(650) 873-7000,(650) 873-7000,1854,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=2195,data/raw/cslb-2195.txt
183,Affordable Water Heaters and Plumbing Inc,AFFORDABLE WATER HEATERS AND PLUMBING INC,do-not-hire,2026-09-04-expansion-50-b3,0,627368,expired,Corporation,C36 - PLUMBING,09/04/1991,09/30/2020,OHIO CASUALTY INSURANCE COMPANY (THE),"$15,000",07/17/2021,insured,"28358 CONSTELLATION ROAD #698 / VALENCIA, CA 91355",(855) 345-9087,(855) 345-9087,1681,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=627368,data/raw/cslb-627368.txt
184,Servadei Service Inc,SERVADEI SERVICE INC,do-not-hire,,0,168371,canceled,Corporation,"C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING ; C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING ; C36 - PLUMBING ; C38 - REFRIGERATION ; C42 - SANITATION SYSTEM ; C16 - FIRE PROTECTION",06/12/1957,11/30/2002,FRONTIER PACIFIC INSURANCE COMPANY,"$7,500",01/30/2002,insured,"45 29TH STREET / SAN FRANCISCO, CA 94110",(415) 567-5025,(415) 567-5025,1586,,unknown,unknown,unknown,unknown,unknown,unknown,3,"LICENSE CANCELED 11/30/2002 - dissolved corporation; 1,525 SF permits make it look active in open data",https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=168371,data/raw/cslb-168371.txt
185,O K L S Inc,O K L S INC,do-not-hire,2026-09-04-expansion-50-b5,0,513547,inactive,Corporation,C-61 / D34 - PREFABRICATED EQUIPMENT,07/01/1987,07/31/2027,SURETEC INSURANCE COMPANY,"$25,000",06/29/2023,insured,"dba OKELL'S FIREPLACE / 1231 UNIVERSITY DRIVE / MENLO PARK, CA 94025",(415) 760-6569,(415) 760-6569,1525,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE INACTIVE — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=513547,data/raw/cslb-513547.txt
186,Ravani Tognotti Inc,RAVANI TOGNOTTI INC,do-not-hire,2026-09-04-expansion-50-b5,0,242424,expired,Corporation,"C16 - FIRE PROTECTION; C36 - PLUMBING; C-4 - BOILER, HOT WATER HEATING AND STEAM FITTING",05/09/1966,12/31/2011,AMERICAN CONTRACTORS INDEMNITY COMPANY,"$12,500",07/03/2011,insured,"1030 HYDE ST / SAN FRANCISCO, CA 94109",(415) 885-1786,(415) 885-1786,1392,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE EXPIRED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=242424,data/raw/cslb-242424.txt
187,Apollo Heating & Ventilating,APOLLO HEATING & VENTILATING,do-not-hire,2026-09-04-expansion-50-b5,0,704593,canceled,Partnership,"C20 - WARM-AIR HEATING, VENTILATING AND AIR-CONDITIONING",03/29/1995,05/19/2020,PLATTE RIVER INSURANCE COMPANY,"$25,000",07/08/2025,insured,"1005 GENEVA AVENUE / SAN FRANCISCO, CA 94112",(415) 585-3635,(415) 585-3635,1302,,unknown,unknown,unknown,unknown,unknown,unknown,1,LICENSE CANCELED — do not book,https://www2.cslb.ca.gov/OnlineServices/CheckLicenseII/LicenseDetail.aspx?LicNum=704593,data/raw/cslb-704593.txt
